instant,dteday,season,yr,holiday,weekday,workingday,weathersit,casual,registered,cnt,time
45,2011-01-02,spring,2011,not holiday,0,weekday,good,11,20,31,night
46,2011-01-02,spring,2011,not holiday,0,weekday,good,0,9,9,night
47,2011-01-02,spring,2011,not holiday,0,weekday,good,0,8,8,night
48,2011-01-03,spring,2011,not holiday,1,weekend,good,0,5,5,night
49,2011-01-03,spring,2011,not holiday,1,weekend,good,0,2,2,night
50,2011-01-03,spring,2011,not holiday,1,weekend,good,0,1,1,night
51,2011-01-03,spring,2011,not holiday,1,weekend,good,0,3,3,Morning
52,2011-01-03,spring,2011,not holiday,1,weekend,good,0,30,30,Morning
53,2011-01-03,spring,2011,not holiday,1,weekend,good,1,63,64,Morning
54,2011-01-03,spring,2011,not holiday,1,weekend,good,1,153,154,Morning
55,2011-01-03,spring,2011,not holiday,1,weekend,good,7,81,88,Morning
56,2011-01-03,spring,2011,not holiday,1,weekend,good,11,33,44,Morning
57,2011-01-03,spring,2011,not holiday,1,weekend,good,10,41,51,Morning
58,2011-01-03,spring,2011,not holiday,1,weekend,good,13,48,61,Afternoon
59,2011-01-03,spring,2011,not holiday,1,weekend,good,8,53,61,Afternoon
60,2011-01-03,spring,2011,not holiday,1,weekend,good,11,66,77,Afternoon
61,2011-01-03,spring,2011,not holiday,1,weekend,good,14,58,72,Afternoon
62,2011-01-03,spring,2011,not holiday,1,weekend,good,9,67,76,Afternoon
63,2011-01-03,spring,2011,not holiday,1,weekend,good,11,146,157,Evening
64,2011-01-03,spring,2011,not holiday,1,weekend,good,9,148,157,Evening
65,2011-01-03,spring,2011,not holiday,1,weekend,good,8,102,110,Evening
66,2011-01-03,spring,2011,not holiday,1,weekend,good,3,49,52,Evening
67,2011-01-03,spring,2011,not holiday,1,weekend,good,3,49,52,night
68,2011-01-03,spring,2011,not holiday,1,weekend,good,0,20,20,night
69,2011-01-03,spring,2011,not holiday,1,weekend,good,1,11,12,night
70,2011-01-04,spring,2011,not holiday,2,weekend,good,0,5,5,night
71,2011-01-04,spring,2011,not holiday,2,weekend,good,0,2,2,night
72,2011-01-04,spring,2011,not holiday,2,weekend,good,0,1,1,night
73,2011-01-04,spring,2011,not holiday,2,weekend,good,0,2,2,night
74,2011-01-04,spring,2011,not holiday,2,weekend,good,0,4,4,Morning
75,2011-01-04,spring,2011,not holiday,2,weekend,good,0,36,36,Morning
76,2011-01-04,spring,2011,not holiday,2,weekend,good,2,92,94,Morning
77,2011-01-04,spring,2011,not holiday,2,weekend,good,2,177,179,Morning
78,2011-01-04,spring,2011,not holiday,2,weekend,good,2,98,100,Morning
79,2011-01-04,spring,2011,not holiday,2,weekend,moderate,5,37,42,Morning
80,2011-01-04,spring,2011,not holiday,2,weekend,good,7,50,57,Morning
81,2011-01-04,spring,2011,not holiday,2,weekend,good,12,66,78,Afternoon
82,2011-01-04,spring,2011,not holiday,2,weekend,good,18,79,97,Afternoon
83,2011-01-04,spring,2011,not holiday,2,weekend,good,9,54,63,Afternoon
84,2011-01-04,spring,2011,not holiday,2,weekend,good,17,48,65,Afternoon
85,2011-01-04,spring,2011,not holiday,2,weekend,good,15,68,83,Afternoon
86,2011-01-04,spring,2011,not holiday,2,weekend,good,10,202,212,Evening
87,2011-01-04,spring,2011,not holiday,2,weekend,good,3,179,182,Evening
88,2011-01-04,spring,2011,not holiday,2,weekend,good,2,110,112,Evening
89,2011-01-04,spring,2011,not holiday,2,weekend,good,1,53,54,Evening
90,2011-01-04,spring,2011,not holiday,2,weekend,good,0,48,48,night
91,2011-01-04,spring,2011,not holiday,2,weekend,good,1,34,35,night
92,2011-01-04,spring,2011,not holiday,2,weekend,good,2,9,11,night
93,2011-01-05,spring,2011,not holiday,3,weekend,good,0,6,6,night
94,2011-01-05,spring,2011,not holiday,3,weekend,good,0,6,6,night
95,2011-01-05,spring,2011,not holiday,3,weekend,good,0,2,2,night
96,2011-01-05,spring,2011,not holiday,3,weekend,good,0,2,2,night
97,2011-01-05,spring,2011,not holiday,3,weekend,good,0,3,3,Morning
98,2011-01-05,spring,2011,not holiday,3,weekend,good,0,33,33,Morning
99,2011-01-05,spring,2011,not holiday,3,weekend,good,1,87,88,Morning
100,2011-01-05,spring,2011,not holiday,3,weekend,good,3,192,195,Morning
101,2011-01-05,spring,2011,not holiday,3,weekend,good,6,109,115,Morning
102,2011-01-05,spring,2011,not holiday,3,weekend,good,4,53,57,Morning
103,2011-01-05,spring,2011,not holiday,3,weekend,good,12,34,46,Morning
104,2011-01-05,spring,2011,not holiday,3,weekend,good,5,74,79,Afternoon
105,2011-01-05,spring,2011,not holiday,3,weekend,good,6,65,71,Afternoon
106,2011-01-05,spring,2011,not holiday,3,weekend,good,10,52,62,Afternoon
107,2011-01-05,spring,2011,not holiday,3,weekend,good,7,55,62,Afternoon
108,2011-01-05,spring,2011,not holiday,3,weekend,good,4,85,89,Afternoon
109,2011-01-05,spring,2011,not holiday,3,weekend,good,4,186,190,Evening
110,2011-01-05,spring,2011,not holiday,3,weekend,good,3,166,169,Evening
111,2011-01-05,spring,2011,not holiday,3,weekend,good,5,127,132,Evening
112,2011-01-05,spring,2011,not holiday,3,weekend,good,7,82,89,Evening
113,2011-01-05,spring,2011,not holiday,3,weekend,good,3,40,43,night
114,2011-01-05,spring,2011,not holiday,3,weekend,good,1,41,42,night
115,2011-01-05,spring,2011,not holiday,3,weekend,good,1,18,19,night
116,2011-01-06,spring,2011,not holiday,4,weekend,good,0,11,11,night
117,2011-01-06,spring,2011,not holiday,4,weekend,good,0,4,4,night
118,2011-01-06,spring,2011,not holiday,4,weekend,good,0,2,2,night
119,2011-01-06,spring,2011,not holiday,4,weekend,moderate,0,1,1,night
120,2011-01-06,spring,2011,not holiday,4,weekend,moderate,0,4,4,Morning
121,2011-01-06,spring,2011,not holiday,4,weekend,moderate,0,36,36,Morning
122,2011-01-06,spring,2011,not holiday,4,weekend,moderate,0,95,95,Morning
123,2011-01-06,spring,2011,not holiday,4,weekend,good,3,216,219,Morning
124,2011-01-06,spring,2011,not holiday,4,weekend,moderate,6,116,122,Morning
125,2011-01-06,spring,2011,not holiday,4,weekend,good,3,42,45,Morning
126,2011-01-06,spring,2011,not holiday,4,weekend,good,2,57,59,Morning
127,2011-01-06,spring,2011,not holiday,4,weekend,good,6,78,84,Afternoon
128,2011-01-06,spring,2011,not holiday,4,weekend,good,12,55,67,Afternoon
129,2011-01-06,spring,2011,not holiday,4,weekend,good,11,59,70,Afternoon
130,2011-01-06,spring,2011,not holiday,4,weekend,good,8,54,62,Afternoon
131,2011-01-06,spring,2011,not holiday,4,weekend,good,12,74,86,Afternoon
132,2011-01-06,spring,2011,not holiday,4,weekend,good,9,163,172,Evening
133,2011-01-06,spring,2011,not holiday,4,weekend,good,5,158,163,Evening
134,2011-01-06,spring,2011,not holiday,4,weekend,good,3,109,112,Evening
135,2011-01-06,spring,2011,not holiday,4,weekend,good,3,66,69,Evening
136,2011-01-06,spring,2011,not holiday,4,weekend,moderate,0,48,48,night
137,2011-01-06,spring,2011,not holiday,4,weekend,moderate,1,51,52,night
138,2011-01-06,spring,2011,not holiday,4,weekend,moderate,4,19,23,night
139,2011-01-07,spring,2011,not holiday,5,weekend,moderate,4,13,17,night
140,2011-01-07,spring,2011,not holiday,5,weekend,moderate,2,5,7,night
141,2011-01-07,spring,2011,not holiday,5,weekend,moderate,0,1,1,night
142,2011-01-07,spring,2011,not holiday,5,weekend,moderate,0,1,1,night
143,2011-01-07,spring,2011,not holiday,5,weekend,bad,0,5,5,Morning
144,2011-01-07,spring,2011,not holiday,5,weekend,moderate,8,26,34,Morning
145,2011-01-07,spring,2011,not holiday,5,weekend,good,8,76,84,Morning
146,2011-01-07,spring,2011,not holiday,5,weekend,good,20,190,210,Morning
147,2011-01-07,spring,2011,not holiday,5,weekend,good,9,125,134,Morning
148,2011-01-07,spring,2011,not holiday,5,weekend,good,16,47,63,Morning
149,2011-01-07,spring,2011,not holiday,5,weekend,moderate,19,48,67,Morning
150,2011-01-07,spring,2011,not holiday,5,weekend,moderate,9,50,59,Afternoon
151,2011-01-07,spring,2011,not holiday,5,weekend,moderate,9,64,73,Afternoon
152,2011-01-07,spring,2011,not holiday,5,weekend,moderate,7,43,50,Afternoon
153,2011-01-07,spring,2011,not holiday,5,weekend,moderate,9,63,72,Afternoon
154,2011-01-07,spring,2011,not holiday,5,weekend,moderate,5,82,87,Afternoon
155,2011-01-07,spring,2011,not holiday,5,weekend,moderate,9,178,187,Evening
156,2011-01-07,spring,2011,not holiday,5,weekend,good,7,116,123,Evening
157,2011-01-07,spring,2011,not holiday,5,weekend,good,3,92,95,Evening
158,2011-01-07,spring,2011,not holiday,5,weekend,good,1,50,51,Evening
159,2011-01-07,spring,2011,not holiday,5,weekend,good,0,39,39,night
160,2011-01-07,spring,2011,not holiday,5,weekend,moderate,2,34,36,night
161,2011-01-07,spring,2011,not holiday,5,weekend,moderate,1,14,15,night
162,2011-01-08,spring,2011,not holiday,6,weekday,moderate,1,24,25,night
163,2011-01-08,spring,2011,not holiday,6,weekday,moderate,1,15,16,night
164,2011-01-08,spring,2011,not holiday,6,weekday,moderate,3,13,16,night
165,2011-01-08,spring,2011,not holiday,6,weekday,bad,0,7,7,night
166,2011-01-08,spring,2011,not holiday,6,weekday,bad,0,1,1,night
167,2011-01-08,spring,2011,not holiday,6,weekday,moderate,0,5,5,Morning
168,2011-01-08,spring,2011,not holiday,6,weekday,moderate,0,2,2,Morning
169,2011-01-08,spring,2011,not holiday,6,weekday,moderate,1,8,9,Morning
170,2011-01-08,spring,2011,not holiday,6,weekday,bad,0,15,15,Morning
171,2011-01-08,spring,2011,not holiday,6,weekday,bad,0,20,20,Morning
172,2011-01-08,spring,2011,not holiday,6,weekday,moderate,5,56,61,Morning
173,2011-01-08,spring,2011,not holiday,6,weekday,moderate,2,60,62,Morning
174,2011-01-08,spring,2011,not holiday,6,weekday,moderate,8,90,98,Afternoon
175,2011-01-08,spring,2011,not holiday,6,weekday,good,7,95,102,Afternoon
176,2011-01-08,spring,2011,not holiday,6,weekday,good,12,83,95,Afternoon
177,2011-01-08,spring,2011,not holiday,6,weekday,good,5,69,74,Afternoon
178,2011-01-08,spring,2011,not holiday,6,weekday,good,8,68,76,Afternoon
179,2011-01-08,spring,2011,not holiday,6,weekday,good,5,64,69,Evening
180,2011-01-08,spring,2011,not holiday,6,weekday,good,3,52,55,Evening
181,2011-01-08,spring,2011,not holiday,6,weekday,good,4,26,30,Evening
182,2011-01-08,spring,2011,not holiday,6,weekday,good,0,28,28,Evening
183,2011-01-08,spring,2011,not holiday,6,weekday,good,2,35,37,night
184,2011-01-08,spring,2011,not holiday,6,weekday,good,1,33,34,night
185,2011-01-08,spring,2011,not holiday,6,weekday,good,0,22,22,night
186,2011-01-09,spring,2011,not holiday,0,weekday,good,1,24,25,night
187,2011-01-09,spring,2011,not holiday,0,weekday,good,0,12,12,night
188,2011-01-09,spring,2011,not holiday,0,weekday,good,0,11,11,night
189,2011-01-09,spring,2011,not holiday,0,weekday,good,0,4,4,night
190,2011-01-09,spring,2011,not holiday,0,weekday,good,0,1,1,night
191,2011-01-09,spring,2011,not holiday,0,weekday,good,0,1,1,Morning
192,2011-01-09,spring,2011,not holiday,0,weekday,good,0,1,1,Morning
193,2011-01-09,spring,2011,not holiday,0,weekday,good,1,5,6,Morning
194,2011-01-09,spring,2011,not holiday,0,weekday,good,0,10,10,Morning
195,2011-01-09,spring,2011,not holiday,0,weekday,good,0,19,19,Morning
196,2011-01-09,spring,2011,not holiday,0,weekday,good,0,49,49,Morning
197,2011-01-09,spring,2011,not holiday,0,weekday,good,2,47,49,Morning
198,2011-01-09,spring,2011,not holiday,0,weekday,good,4,79,83,Afternoon
199,2011-01-09,spring,2011,not holiday,0,weekday,good,6,69,75,Afternoon
200,2011-01-09,spring,2011,not holiday,0,weekday,good,8,64,72,Afternoon
201,2011-01-09,spring,2011,not holiday,0,weekday,good,5,77,82,Afternoon
202,2011-01-09,spring,2011,not holiday,0,weekday,good,13,79,92,Afternoon
203,2011-01-09,spring,2011,not holiday,0,weekday,good,3,59,62,Evening
204,2011-01-09,spring,2011,not holiday,0,weekday,good,4,44,48,Evening
205,2011-01-09,spring,2011,not holiday,0,weekday,good,1,40,41,Evening
206,2011-01-09,spring,2011,not holiday,0,weekday,good,0,38,38,Evening
207,2011-01-09,spring,2011,not holiday,0,weekday,good,1,19,20,night
208,2011-01-09,spring,2011,not holiday,0,weekday,good,5,10,15,night
209,2011-01-09,spring,2011,not holiday,0,weekday,good,0,6,6,night
210,2011-01-10,spring,2011,not holiday,1,weekend,good,2,3,5,night
211,2011-01-10,spring,2011,not holiday,1,weekend,good,1,0,1,night
212,2011-01-10,spring,2011,not holiday,1,weekend,good,0,3,3,night
213,2011-01-10,spring,2011,not holiday,1,weekend,good,0,1,1,night
214,2011-01-10,spring,2011,not holiday,1,weekend,good,1,2,3,night
215,2011-01-10,spring,2011,not holiday,1,weekend,good,0,3,3,Morning
216,2011-01-10,spring,2011,not holiday,1,weekend,good,0,31,31,Morning
217,2011-01-10,spring,2011,not holiday,1,weekend,good,2,75,77,Morning
218,2011-01-10,spring,2011,not holiday,1,weekend,moderate,4,184,188,Morning
219,2011-01-10,spring,2011,not holiday,1,weekend,moderate,2,92,94,Morning
220,2011-01-10,spring,2011,not holiday,1,weekend,moderate,0,31,31,Morning
221,2011-01-10,spring,2011,not holiday,1,weekend,moderate,2,28,30,Morning
222,2011-01-10,spring,2011,not holiday,1,weekend,moderate,5,47,52,Afternoon
223,2011-01-10,spring,2011,not holiday,1,weekend,moderate,4,50,54,Afternoon
224,2011-01-10,spring,2011,not holiday,1,weekend,moderate,0,47,47,Afternoon
225,2011-01-10,spring,2011,not holiday,1,weekend,moderate,2,43,45,Afternoon
226,2011-01-10,spring,2011,not holiday,1,weekend,good,4,70,74,Afternoon
227,2011-01-10,spring,2011,not holiday,1,weekend,good,4,174,178,Evening
228,2011-01-10,spring,2011,not holiday,1,weekend,good,1,154,155,Evening
229,2011-01-10,spring,2011,not holiday,1,weekend,good,3,92,95,Evening
230,2011-01-10,spring,2011,not holiday,1,weekend,good,1,73,74,Evening
231,2011-01-10,spring,2011,not holiday,1,weekend,good,1,37,38,night
232,2011-01-10,spring,2011,not holiday,1,weekend,good,2,22,24,night
233,2011-01-10,spring,2011,not holiday,1,weekend,good,0,18,18,night
234,2011-01-11,spring,2011,not holiday,2,weekend,good,2,10,12,night
235,2011-01-11,spring,2011,not holiday,2,weekend,good,0,3,3,night
236,2011-01-11,spring,2011,not holiday,2,weekend,moderate,0,3,3,night
237,2011-01-11,spring,2011,not holiday,2,weekend,moderate,0,6,6,Morning
238,2011-01-11,spring,2011,not holiday,2,weekend,moderate,0,27,27,Morning
239,2011-01-11,spring,2011,not holiday,2,weekend,moderate,2,97,99,Morning
240,2011-01-11,spring,2011,not holiday,2,weekend,moderate,3,214,217,Morning
241,2011-01-11,spring,2011,not holiday,2,weekend,moderate,3,127,130,Morning
242,2011-01-11,spring,2011,not holiday,2,weekend,moderate,3,51,54,Morning
243,2011-01-11,spring,2011,not holiday,2,weekend,moderate,4,31,35,Morning
244,2011-01-11,spring,2011,not holiday,2,weekend,moderate,2,55,57,Afternoon
245,2011-01-11,spring,2011,not holiday,2,weekend,moderate,6,46,52,Afternoon
246,2011-01-11,spring,2011,not holiday,2,weekend,moderate,3,60,63,Afternoon
247,2011-01-11,spring,2011,not holiday,2,weekend,moderate,2,45,47,Afternoon
248,2011-01-11,spring,2011,not holiday,2,weekend,moderate,4,72,76,Afternoon
249,2011-01-11,spring,2011,not holiday,2,weekend,moderate,6,130,136,Evening
250,2011-01-11,spring,2011,not holiday,2,weekend,bad,1,94,95,Evening
251,2011-01-11,spring,2011,not holiday,2,weekend,bad,0,51,51,Evening
252,2011-01-11,spring,2011,not holiday,2,weekend,bad,0,32,32,Evening
253,2011-01-11,spring,2011,not holiday,2,weekend,bad,0,20,20,night
254,2011-01-11,spring,2011,not holiday,2,weekend,bad,1,28,29,night
255,2011-01-11,spring,2011,not holiday,2,weekend,bad,1,18,19,night
256,2011-01-12,spring,2011,not holiday,3,weekend,moderate,0,7,7,night
257,2011-01-12,spring,2011,not holiday,3,weekend,moderate,0,6,6,night
258,2011-01-12,spring,2011,not holiday,3,weekend,good,0,1,1,night
259,2011-01-12,spring,2011,not holiday,3,weekend,good,0,5,5,Morning
260,2011-01-12,spring,2011,not holiday,3,weekend,good,0,16,16,Morning
261,2011-01-12,spring,2011,not holiday,3,weekend,good,0,54,54,Morning
262,2011-01-12,spring,2011,not holiday,3,weekend,good,3,125,128,Morning
263,2011-01-12,spring,2011,not holiday,3,weekend,good,3,78,81,Morning
264,2011-01-12,spring,2011,not holiday,3,weekend,good,0,39,39,Morning
265,2011-01-12,spring,2011,not holiday,3,weekend,good,3,32,35,Morning
266,2011-01-12,spring,2011,not holiday,3,weekend,good,3,52,55,Afternoon
267,2011-01-12,spring,2011,not holiday,3,weekend,good,0,49,49,Afternoon
268,2011-01-12,spring,2011,not holiday,3,weekend,good,0,44,44,Afternoon
269,2011-01-12,spring,2011,not holiday,3,weekend,good,1,48,49,Afternoon
270,2011-01-12,spring,2011,not holiday,3,weekend,good,5,63,68,Afternoon
271,2011-01-12,spring,2011,not holiday,3,weekend,good,0,139,139,Evening
272,2011-01-12,spring,2011,not holiday,3,weekend,good,2,135,137,Evening
273,2011-01-12,spring,2011,not holiday,3,weekend,good,1,82,83,Evening
274,2011-01-12,spring,2011,not holiday,3,weekend,good,2,54,56,Evening
275,2011-01-12,spring,2011,not holiday,3,weekend,good,0,57,57,night
276,2011-01-12,spring,2011,not holiday,3,weekend,good,1,32,33,night
277,2011-01-12,spring,2011,not holiday,3,weekend,good,1,19,20,night
278,2011-01-13,spring,2011,not holiday,4,weekend,good,1,6,7,night
279,2011-01-13,spring,2011,not holiday,4,weekend,good,0,2,2,night
280,2011-01-13,spring,2011,not holiday,4,weekend,good,0,2,2,night
281,2011-01-13,spring,2011,not holiday,4,weekend,good,0,3,3,night
282,2011-01-13,spring,2011,not holiday,4,weekend,good,0,4,4,night
283,2011-01-13,spring,2011,not holiday,4,weekend,good,0,3,3,Morning
284,2011-01-13,spring,2011,not holiday,4,weekend,good,0,28,28,Morning
285,2011-01-13,spring,2011,not holiday,4,weekend,good,0,72,72,Morning
286,2011-01-13,spring,2011,not holiday,4,weekend,good,5,197,202,Morning
287,2011-01-13,spring,2011,not holiday,4,weekend,good,2,137,139,Morning
288,2011-01-13,spring,2011,not holiday,4,weekend,moderate,2,36,38,Morning
289,2011-01-13,spring,2011,not holiday,4,weekend,moderate,4,33,37,Morning
290,2011-01-13,spring,2011,not holiday,4,weekend,good,3,49,52,Afternoon
291,2011-01-13,spring,2011,not holiday,4,weekend,good,2,81,83,Afternoon
292,2011-01-13,spring,2011,not holiday,4,weekend,good,3,39,42,Afternoon
293,2011-01-13,spring,2011,not holiday,4,weekend,good,5,55,60,Afternoon
294,2011-01-13,spring,2011,not holiday,4,weekend,good,2,76,78,Afternoon
295,2011-01-13,spring,2011,not holiday,4,weekend,good,4,158,162,Evening
296,2011-01-13,spring,2011,not holiday,4,weekend,good,3,141,144,Evening
297,2011-01-13,spring,2011,not holiday,4,weekend,good,1,98,99,Evening
298,2011-01-13,spring,2011,not holiday,4,weekend,good,0,64,64,Evening
299,2011-01-13,spring,2011,not holiday,4,weekend,good,0,40,40,night
300,2011-01-13,spring,2011,not holiday,4,weekend,good,0,30,30,night
301,2011-01-13,spring,2011,not holiday,4,weekend,good,1,14,15,night
302,2011-01-14,spring,2011,not holiday,5,weekend,good,0,14,14,night
303,2011-01-14,spring,2011,not holiday,5,weekend,good,0,5,5,night
304,2011-01-14,spring,2011,not holiday,5,weekend,good,0,1,1,night
305,2011-01-14,spring,2011,not holiday,5,weekend,good,0,1,1,night
306,2011-01-14,spring,2011,not holiday,5,weekend,good,0,8,8,Morning
307,2011-01-14,spring,2011,not holiday,5,weekend,good,0,17,17,Morning
308,2011-01-14,spring,2011,not holiday,5,weekend,good,0,70,70,Morning
309,2011-01-14,spring,2011,not holiday,5,weekend,good,2,156,158,Morning
310,2011-01-14,spring,2011,not holiday,5,weekend,good,0,117,117,Morning
311,2011-01-14,spring,2011,not holiday,5,weekend,good,4,40,44,Morning
312,2011-01-14,spring,2011,not holiday,5,weekend,good,6,47,53,Morning
313,2011-01-14,spring,2011,not holiday,5,weekend,good,2,59,61,Afternoon
314,2011-01-14,spring,2011,not holiday,5,weekend,good,4,73,77,Afternoon
315,2011-01-14,spring,2011,not holiday,5,weekend,good,5,59,64,Afternoon
316,2011-01-14,spring,2011,not holiday,5,weekend,good,9,59,68,Afternoon
317,2011-01-14,spring,2011,not holiday,5,weekend,good,3,87,90,Afternoon
318,2011-01-14,spring,2011,not holiday,5,weekend,good,4,155,159,Evening
319,2011-01-14,spring,2011,not holiday,5,weekend,good,5,134,139,Evening
320,2011-01-14,spring,2011,not holiday,5,weekend,good,3,89,92,Evening
321,2011-01-14,spring,2011,not holiday,5,weekend,good,0,68,68,Evening
322,2011-01-14,spring,2011,not holiday,5,weekend,good,4,48,52,night
323,2011-01-14,spring,2011,not holiday,5,weekend,moderate,2,34,36,night
324,2011-01-14,spring,2011,not holiday,5,weekend,moderate,1,26,27,night
325,2011-01-15,spring,2011,not holiday,6,weekday,good,3,25,28,night
326,2011-01-15,spring,2011,not holiday,6,weekday,moderate,2,18,20,night
327,2011-01-15,spring,2011,not holiday,6,weekday,moderate,0,12,12,night
328,2011-01-15,spring,2011,not holiday,6,weekday,moderate,1,7,8,night
329,2011-01-15,spring,2011,not holiday,6,weekday,moderate,0,5,5,night
330,2011-01-15,spring,2011,not holiday,6,weekday,good,0,1,1,Morning
331,2011-01-15,spring,2011,not holiday,6,weekday,good,1,2,3,Morning
332,2011-01-15,spring,2011,not holiday,6,weekday,good,1,9,10,Morning
333,2011-01-15,spring,2011,not holiday,6,weekday,good,1,22,23,Morning
334,2011-01-15,spring,2011,not holiday,6,weekday,good,2,31,33,Morning
335,2011-01-15,spring,2011,not holiday,6,weekday,good,2,57,59,Morning
336,2011-01-15,spring,2011,not holiday,6,weekday,good,18,54,72,Morning
337,2011-01-15,spring,2011,not holiday,6,weekday,good,15,74,89,Afternoon
338,2011-01-15,spring,2011,not holiday,6,weekday,good,21,80,101,Afternoon
339,2011-01-15,spring,2011,not holiday,6,weekday,good,26,92,118,Afternoon
340,2011-01-15,spring,2011,not holiday,6,weekday,moderate,21,108,129,Afternoon
341,2011-01-15,spring,2011,not holiday,6,weekday,moderate,33,95,128,Afternoon
342,2011-01-15,spring,2011,not holiday,6,weekday,moderate,29,54,83,Evening
343,2011-01-15,spring,2011,not holiday,6,weekday,moderate,15,69,84,Evening
344,2011-01-15,spring,2011,not holiday,6,weekday,moderate,14,60,74,Evening
345,2011-01-15,spring,2011,not holiday,6,weekday,moderate,6,35,41,Evening
346,2011-01-15,spring,2011,not holiday,6,weekday,moderate,6,51,57,night
347,2011-01-15,spring,2011,not holiday,6,weekday,moderate,0,26,26,night
348,2011-01-15,spring,2011,not holiday,6,weekday,good,5,39,44,night
349,2011-01-16,spring,2011,not holiday,0,weekday,good,6,33,39,night
350,2011-01-16,spring,2011,not holiday,0,weekday,good,4,19,23,night
351,2011-01-16,spring,2011,not holiday,0,weekday,good,3,13,16,night
352,2011-01-16,spring,2011,not holiday,0,weekday,good,9,6,15,night
353,2011-01-16,spring,2011,not holiday,0,weekday,good,0,1,1,night
354,2011-01-16,spring,2011,not holiday,0,weekday,moderate,1,1,2,Morning
355,2011-01-16,spring,2011,not holiday,0,weekday,moderate,0,1,1,Morning
356,2011-01-16,spring,2011,not holiday,0,weekday,moderate,0,3,3,Morning
357,2011-01-16,spring,2011,not holiday,0,weekday,good,0,18,18,Morning
358,2011-01-16,spring,2011,not holiday,0,weekday,good,3,29,32,Morning
359,2011-01-16,spring,2011,not holiday,0,weekday,good,8,71,79,Morning
360,2011-01-16,spring,2011,not holiday,0,weekday,good,23,70,93,Morning
361,2011-01-16,spring,2011,not holiday,0,weekday,good,29,75,104,Afternoon
362,2011-01-16,spring,2011,not holiday,0,weekday,good,23,95,118,Afternoon
